141,30 2,3342E05
141,70 2,4775E05
142,20 2,2505E05
142,60 2,4679E05
143,00 2,761E05
143,50 2,6039E05
143,90 2,6668E05
144,30 2,309E05
144,80 2,1971E05
145,20 2,4671E05
145,70 2,5141E05
146,10 2,3807E05
146,50 2,5466E05
147,00 2,6486E05
147,40 2,5186E05
147,80 2,1725E05
148,30 2,1837E05
148,70 2,248E05
149,20 2,1729E05
149,60 2,1844E05
150,00 2,0348E05
150,50 2,2371E05
150,90 1,9237E05
151,30 1,8026E05
151,80 2,031E05
152,20 1,9599E05
152,70 1,8027E05
153,10 1,5788E05
153,50 1,6058E05
154,00 1,4947E05
154,40 1,244E05
154,80 95597,00
155,30 98093,00
155,70 1,2288E05
156,20 1,4829E05
156,60 1,9925E05
157,00 2,2085E05
157,50 2,4116E05
157,90 2,7684E05
158,30 3,1041E05
158,80 2,8612E05
159,20 1,9825E05
159,70 1,7468E05
160,10 1,721E05
160,50 2,2417E05
161,00 1,6539E05
161,40 1,4651E05
161,80 1,5072E05
162,30 1,5038E05
162,70 1,3474E05
163,20 1,3203E05
163,60 1,3288E05
164,00 1,2269E05
164,50 1,121E05
164,90 86560,00
165,30 91551,00
165,80 1,1199E05
166,20 81471,00
166,70 89235,00
167,10 94116,00
167,50 94050,00
168,00 87005,00
168,40 98372,00
168,80 1,1633E05
169,30 1,077E05
169,70 1,0236E05
170,20 1,1192E05
170,60 1,3036E05
171,00 1,0369E05
171,50 1,0616E05
171,90 1,0397E05
172,30 82920,00
172,80 81375,00
173,20 98904,00
173,70 90754,00
174,10 1,0353E05
174,50 1,3519E05
175,00 1,168E05
175,40 92906,00
175,80 62584,00
176,30 43426,00
176,70 23165,00
177,20 20429,00
177,60 10549,00
178,00 8026,00
178,50 9294,30
178,90 50886,00
179,30 1,0232E05
179,80 1,2476E05
180,20 1,6234E05
180,70 1,4038E05
181,10 57774,00
181,50 85510,00
182,00 2,6745E05
182,40 2,6778E05
182,80 2,4759E05
183,30 1,8922E05
183,70 57990,00
184,20 41664,00
184,60 3,5076E05
185,00 8,7921E05
185,50 1,3695E06
185,90 1,5295E06
186,30 1,5555E06
186,80 1,5511E06
187,20 1,5003E06
